sitio,rotulo,obitos,casos,ob_por_caso_Q1,ob_por_caso_Q4,razao_Q4_Q1,grupo_deteccao
C76,Neopl malig outr localiz e mal definidas,16159,20795,0.547,2.883,5.274,não classificado
C26,Neopl malig outr mal def aparelho digestivo,13130,4853,2.012,9.556,4.749,não classificado
C44,Outr neopl malig da pele,10692,200562,0.042,0.132,3.145,fora do contraste
C16,Neopl malig do estomago,44077,58734,0.647,1.354,2.093,apresentação clínica
C22,Neopl malig figado vias biliares intra-hepat,33498,10461,3.013,4.427,1.469,apresentação clínica
C53,Neopl malig do colo do utero,21683,63763,0.306,0.449,1.466,depende de detecção
C61,Neopl malig da prostata,51508,137218,0.346,0.502,1.449,depende de detecção
C24,Neopl malig outr partes e NE vias biliares,8657,3908,2.132,3.08,1.445,não classificado
C15,Neopl malig do esofago,25733,22330,1.04,1.446,1.39,apresentação clínica
C34,Neopl malig dos bronquios e dos pulmoes,93090,42054,2.128,2.656,1.248,apresentação clínica
C32,Neopl malig da laringe,14001,15321,0.883,1.099,1.245,não classificado
C71,Neopl malig do encefalo,26190,14809,1.714,1.984,1.157,apresentação clínica
C85,Linfoma nao-Hodgkin de outr tipos e tipo NE,9172,5516,1.655,1.764,1.065,não classificado
C25,Neopl malig do pancreas,40531,13408,3.08,3.191,1.036,apresentação clínica
C20,Neopl malig do reto,18340,36169,0.521,0.514,0.987,depende de detecção
C67,Neopl malig da bexiga,15854,23364,0.687,0.661,0.963,depende de detecção
C50,Neopl malig da mama,60887,190082,0.327,0.309,0.947,depende de detecção
C92,Leucemia mieloide,11495,11810,0.997,0.944,0.947,apresentação clínica
C64,Neopl malig do rim exceto pelve renal,12775,15072,0.872,0.823,0.943,depende de detecção
C56,Neopl malig do ovario,13226,21584,0.65,0.566,0.871,não classificado
C18,Neopl malig do colon,46491,79005,0.614,0.534,0.869,depende de detecção
C90,Mieloma mult e neopl malig de plasmocitos,11845,13611,0.916,0.746,0.815,não classificado
C80,Neopl malig s/especificacao de localiz,17249,62711,0.325,0.179,0.552,fora do contraste
