Recorte,Municipios,IRR,IC95% inferior,IC95% superior
Painel completo,5170,0.991,0.944,1.037
Sem o Distrito Federal,5170,0.991,0.944,1.037
Sem municipios com menos de 5.000 hab.,4008,0.99,0.943,1.038
Sem o DF e sem municipios pequenos,4008,0.99,0.943,1.038
Somente Centro-Oeste,448,0.921,0.8,1.035
Somente Nordeste,1574,0.97,0.897,1.058
Somente Norte,335,1.142,0.828,1.268
Somente Sudeste,1624,0.972,0.924,1.033
Somente Sul,1189,1.042,0.962,1.119
