Recorte,Valor
Municípios do país,5571
Coletados pelo SISAGUA,5570
Analisáveis (com denominador),5570
Óbitos totais 2015–2024,14457218
Óbitos por A00–A09 (subgrupo 1.2),49429
Óbitos por infecção respiratória (subgrupo 1.2),831816
Pessoas-ano,2085404546
