faixa,modelo,horizonte_meses,n_previsoes,n_hospitais,mae,rmse,smape_pct,wape_pct,mase,cobertura_ic95_pct,largura_ic_pct_da_previsao,z_empirico_p95,fator_alargamento_necessario
21–100/mês,media_movel_3,1,16724,1489,12.558239655584796,21.08935802920588,22.920439460109634,21.485259727107014,0.7932609987841897,91.53312604640038,117.81795206827896,2.3728344893805127,1.2106520875368774
>500/mês,media_movel_3,1,7523,630,107.012627940981,165.71170376716208,11.215039984595903,10.601370628950713,0.7246843608083181,93.27395985644026,60.93062575339423,2.1946296115006905,1.1197295607529776
101–500/mês,media_movel_3,1,19663,1680,37.82884944650706,61.70785532504217,15.238808850133573,14.462106709565274,0.7328861915969653,92.32060214616284,79.84561436794412,2.271294918970898,1.1588452323035439
6–20/mês,media_movel_3,1,5535,530,4.908943089430891,7.664655484211877,36.368940737190655,34.2717675105006,0.8104710480586272,91.45438121047877,180.2637531106234,2.3333869590352077,1.1905254267122591
≤5/mês,media_movel_3,1,1033,116,2.1242336237495962,3.028689323624725,47.30547153000164,47.64075843103198,0.8463556175600945,91.86834462729912,235.77065154940126,2.178298634767023,1.111397276658737
21–100/mês,naive,1,16724,1489,13.391293948816072,23.262321756213325,24.513690317403114,22.9104903603587,0.8550996422365768,91.85601530734274,143.33295032780902,2.3745866465034293,1.2115460616796359
>500/mês,naive,1,7523,630,115.99694270902566,183.1838673490255,12.194846782972284,11.491415594071336,0.7833350263373579,93.85883291240197,71.0383849422012,2.1183207234242247,1.0807957391734075
101–500/mês,naive,1,19663,1680,40.213090576209126,67.57760837465923,16.20879908593026,15.373610763841228,0.7825925546289699,92.59522961908152,95.0237096509075,2.2503399363288974,1.1481537181699724
6–20/mês,naive,1,5535,530,5.4238482384823845,8.217558920754964,40.83231172559309,37.86657585045597,0.9056766732788916,92.24932249322494,223.12952965431214,2.321234935325234,1.1843253006865633
≤5/mês,naive,1,1033,116,2.383349467570184,3.404910752334774,52.08924892859464,53.452019105514545,0.9504437242246669,91.67473378509196,300.7174249504348,2.2113206572011874,1.1282455568795156
21–100/mês,seasonal_naive,1,16724,1489,18.11914015785697,29.649461100165983,32.60848205580634,30.99912431996694,1.0578103467033133,89.73331738818464,167.22127673201913,2.5188366965249265,1.2851443783626582
>500/mês,seasonal_naive,1,7523,630,160.76824405157518,252.05325939883096,16.872041206164113,15.926753443493885,1.0082137616686044,89.75142895121627,80.52991906534673,2.4736152941490634,1.2620718103294883
101–500/mês,seasonal_naive,1,19663,1680,57.3368000813711,99.35946186630028,23.103534599716557,21.920067178737984,1.0306775494491112,88.6029598738748,111.13329540770806,2.5552818812846465,1.3037392020671728
6–20/mês,seasonal_naive,1,5535,530,6.698464317976513,10.804884472093375,49.31233089978615,46.76530316217,1.0439707167960064,90.49683830171635,257.15906340143283,2.445103418698042,1.2475246677922176
≤5/mês,seasonal_naive,1,1033,116,2.675217812197483,3.8672615013527483,60.535579974143985,59.99782891880157,1.0488241337000652,89.54501452081317,354.34855156757317,2.4681211305265376,1.2592686141147298
21–100/mês,snaive_drift,1,16724,1489,17.777753077110862,28.054824289659926,33.452522484473036,30.41506235758456,1.0520059360212872,90.46878737144223,170.42495673271821,2.429181706831896,1.2394011961408329
>500/mês,snaive_drift,1,7523,630,156.19431887324262,246.83321271488896,16.187255192410966,15.47363050858815,0.9784200460408682,91.01422304931543,75.64147773083688,2.3969888021171393,1.2229759429378708
101–500/mês,snaive_drift,1,19663,1680,55.67381890539777,98.04106560522506,21.90587572620904,21.284303427663993,0.9985363439490635,90.83049382088186,105.02058331033653,2.3777492031173395,1.213159640622339
6–20/mês,snaive_drift,1,5535,530,6.7610089537314835,10.356298967819251,54.08438176186907,47.20195829884053,1.0561914175112306,90.40650406504065,367.31915981227314,2.408960979049318,1.2290843087173515
≤5/mês,snaive_drift,1,1033,116,2.799572205910286,3.889883431637027,73.21250100620573,62.78675833055418,1.0998952760632947,88.77057115198451,758.363735179246,2.4655740421705787,1.2579690553595435
21–100/mês,tendencia_linear,1,16724,1489,13.71667905461428,21.992455622776237,25.575569385142966,23.46717534974714,0.8381610110736921,90.22363071035637,115.3276021203982,2.4844611827537215,1.2676055286478907
>500/mês,tendencia_linear,1,7523,630,119.31403329237128,179.27881279131736,12.425652977519782,11.820028276148854,0.7799924920947983,91.73202179981391,57.47014415877548,2.3386161043281306,1.1931934070089227
101–500/mês,tendencia_linear,1,19663,1680,41.81067102848467,66.57015236459937,16.620617197333114,15.984371580413136,0.7860762214759166,90.92203631185475,75.9200576806885,2.394139806890283,1.2215223472344148
6–20/mês,tendencia_linear,1,5535,530,5.284519073019248,8.102904146833064,40.40882455852006,36.89384981163398,0.8436985082600093,90.73170731707317,202.35483982671258,2.447678739202979,1.2488386309697304
≤5/mês,tendencia_linear,1,1033,116,2.1449883533724408,3.074554673009049,53.63707250117767,48.10623033073668,0.8456799009642525,91.9651500484027,270.7452920648247,2.4024886042362867,1.2257820159894828
21–100/mês,tendencia_linear_publicada,1,16724,1489,13.71106520376073,21.98190756736433,25.56851607163688,23.45757089506514,0.8379199573609895,88.4477397751734,107.56710686281875,2.6784785391946873,1.3665957947810186
>500/mês,tendencia_linear_publicada,1,7523,630,119.29891514854063,179.25725002486627,12.423568430027311,11.818530573970575,0.7799025357583828,90.01728034028977,53.7381758300138,2.4932477349765003,1.2720885458319238
101–500/mês,tendencia_linear_publicada,1,19663,1680,41.81514099646143,66.59172033671582,16.618830622645604,15.986080465425875,0.786001553145014,89.08610079845396,71.05381080392893,2.5725928195323564,1.312571475713146
6–20/mês,tendencia_linear_publicada,1,5535,530,5.284857540469402,8.10428686739235,40.371196337539324,36.89621282085007,0.8434701190276215,89.01535682023487,180.02758889841607,2.6116195186076903,1.3324834227607303
≤5/mês,tendencia_linear_publicada,1,1033,116,2.1467493956420722,3.074795156700157,53.79414903791427,48.14572569905038,0.8464912260552182,90.31945788964182,280.4678805788224,2.571419741782804,1.3119729556593056
21–100/mês,tendencia_sazonal,1,16699,1486,15.991105521772024,25.122772251382823,30.110531762669332,27.353605546622592,0.9657677229535502,90.87315846209127,149.7938117326561,2.399994408826364,1.2245094439271402
>500/mês,tendencia_sazonal,1,7518,630,141.5249060110288,216.1412193720794,14.570236461005466,14.017295852201164,0.9007799162448202,91.30087789305666,68.09442891783635,2.3863742759729085,1.2175602688602059
101–500/mês,tendencia_sazonal,1,19657,1680,49.8921851504817,82.69423623021355,19.743370636956136,19.07225963720899,0.912324360760044,91.0002035002035,93.08108280403792,2.350610783463691,1.199313253715379
6–20/mês,tendencia_sazonal,1,5522,528,6.1792370476719585,9.26948215644019,49.257924477274564,43.1320275278025,0.9721286096137027,91.23347219706575,252.32320147618788,2.374796590998449,1.2116531781862023
