Grupo de causa,IRR,IC95% inferior,IC95% superior,Exclui 1
A00-A09 intestinais (hipotese),0.991,0.944,1.037,nao
J00-J22 respiratorias (subgrupo 1.2),1.009,0.986,1.032,nao
outras infecciosas do subgrupo 1.2,0.995,0.975,1.021,nao
I20-I25 isquemicas do coracao,1.018,0.999,1.042,nao
V01-Y98 causas externas,0.997,0.981,1.014,nao
