Item,Valor
"Óbitos não fetais, 2015–2024",14484496.0
"Óbitos não fetais, 2025 (preliminar)",1534588.0
Códigos de município de residência distintos,5595.0
Códigos da CID-10 (4 caracteres) presentes,7746.0
Óbitos com causa mal definida (R00–R99),772173.0
Óbitos com idade ignorada,25344.0
Óbitos codificados em U07 (COVID-19 da CID-10),0.0
Óbitos codificados em B34.2 (COVID-19 no SIM brasileiro),718811.0
"Causas mal definidas, em % dos óbitos",5.33
