Ano,Unidades da federação no cruzamento,Doses de influenza no país (INF3),Óbitos por influenza em 60 anos ou mais,Correlação de Spearman,Valor de p
2023,26,16621107,824,0.389,0.05
2024,27,54215093,1719,-0.056,0.783
